station_code,date,piezometry_m,depth_to_water_m,measurement_type,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,lon,lat
BO-F01-00,2012-05-09,22.13,2.07,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2012-06-25,21.90,2.30,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2012-07-04,21.90,2.30,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2012-08-08,21.62,2.58,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2012-09-05,21.57,2.63,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2012-10-24,21.57,2.63,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2012-11-12,21.65,2.55,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2012-12-05,21.90,2.30,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2013-01-09,22.05,2.15,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2013-02-05,23.20,1.00,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2013-04-08,23.64,0.56,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2013-06-12,23.10,1.10,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2013-07-03,22.75,1.45,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2013-09-11,22.02,2.18,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2013-10-07,21.90,2.30,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2014-01-22,23.12,1.08,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2014-02-17,23.58,0.62,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2014-03-05,23.86,0.34,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2014-04-08,23.49,0.71,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F01-00,2014-05-12,23.30,0.90,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,677394,4940978,24.2,6.6,,,,,11.2352601279,44.600276082
BO-F02-00,2010-04-01,21.48,2.72,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2010-06-24,22.95,1.25,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2010-07-27,21.60,2.60,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2010-11-02,21.45,2.75,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2011-04-07,21.68,2.52,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2011-09-29,22.45,1.75,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2012-04-05,20.79,3.41,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2012-05-02,20.69,3.51,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2012-07-31,19.35,4.85,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2012-10-09,20.25,3.95,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2012-10-30,21.00,3.20,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2013-03-11,23.48,0.72,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2013-04-02,23.57,0.63,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2013-05-29,23.37,0.83,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2013-08-05,21.23,2.97,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2013-09-02,22.90,1.30,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
BO-F02-00,2013-10-07,21.91,2.29,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113
